Category,Parameter,KuhnPoker Value,FHP Value,Scale Factor,Reasoning
Game Properties,game_name,KuhnPoker,FHP,--,"FHP = Fixed-limit Hold'em Poker (2 players, 52 cards, 2 rounds, 3 community cards)"
Game Properties,info_state_tensor_size,11,162,~15x,"FHP encodes 52 cards + 2 rounds of betting history = much larger state representation"
Game Properties,num_distinct_actions,2,3,1.5x,"Kuhn: fold/call. FHP: fold/call/raise"
Game Properties,max_game_length,3,28,~9x,"FHP has 2 betting rounds with up to 3 raises each + chance nodes for dealing cards"
Game Properties,estimated_info_states,12,~millions,~100000x,"FHP has 1326 hole card combos x 22100 flop combos x many betting sequences"
Game Properties,game_tree_nodes,58,~910K,~15000x,"FHP tree is massive due to card combinations and multi-round betting"
Algorithm,algo_name,VRDeepPDCFRPlus,VRDeepPDCFRPlus,same,"Same algorithm for both -- the best variant available"
Algorithm,epsilon,0.6,0.6,same,"Exploration mixing rate. Paper-tuned, no need to change per game"
Algorithm,alpha,2.3,2.3,same,"Temporal weighting for regret. Paper-tuned, game-agnostic"
Algorithm,gamma,2,2,same,"Discount factor for older iterations. Paper-tuned, game-agnostic"
Algorithm,reinitialize_advantage_networks,False,False,same,"Keep learned regret knowledge across iterations"
Algorithm,reinitialize_imm_regret_networks,True,True,same,"Reset immediate regret net each iteration (by design in VR-PDCFR+)"
Algorithm,use_regret_matching_argmax,True,True,same,"Use argmax variant for regret matching"
Algorithm,use_baseline,True,True,same,"Variance reduction baseline. Always helpful"
Network Architecture,num_layers,3,4,+1 layer,"FHP infostate (162 dims) needs deeper network to capture card+betting patterns"
Network Architecture,num_hiddens,64,256,4x,"Kuhn: 11-dim input, 64 hiddens is overkill. FHP: 162-dim input needs 256 to learn card relationships"
Network Architecture,network_params (approx),"~5K per net (11->64->64->64->2)","~200K per net (162->256->256->256->256->3)",~40x,"More params = more capacity to approximate the much larger strategy space"
Training Budget,num_episodes,10000000,50000000,5x,"FHP has ~15000x more nodes but sampling covers many paths. 5x episodes is a starting point -- may need more"
Training Budget,num_traversals,10000,30000,3x,"Each traversal samples one random game path. FHP needs more to cover its vast info state space per iteration"
Training Budget,evaluation_frequency,3,3,same,"Evaluate every 3 iterations. Keep same to monitor convergence"
Training Budget,estimated_iterations,~500,~833,~1.7x,"num_episodes / (num_traversals x 2 players). FHP gets fewer but more expensive iterations"
Training Budget,estimated_wall_time,~30 min (CPU),~hours to days (MPS),--,"FHP iterations are much more expensive: larger network + more traversals + bigger batches"
Regret Network Training,advantage_buffer_size,150000,1000000,~7x,"FHP has millions of info states -- buffer must be large enough to store diverse regret samples via reservoir sampling"
Regret Network Training,advantage_batch_size,2048,4096,2x,"Larger batch = more stable gradient estimates. M4 Pro GPU can handle 4096 easily"
Regret Network Training,advantage_network_train_steps,750,1500,2x,"Bigger buffer = need more SGD steps to learn from the data. Scale roughly with buffer size"
Policy Network Training,ave_policy_buffer_size,1000000,5000000,5x,"Policy must generalize across all info states. Needs large diverse buffer"
Policy Network Training,ave_policy_batch_size,2048,4096,2x,"Same reasoning as advantage batch size"
Policy Network Training,ave_policy_network_train_steps,5000,8000,1.6x,"More data in buffer -> more training steps. Don't over-scale to avoid overfitting"
Baseline Training,baseline_buffer_size,1000000,2000000,2x,"Q-value baseline for variance reduction. Scale moderately with game size"
Baseline Training,baseline_batch_size,2048,4096,2x,"Match other batch sizes for consistency"
Baseline Training,baseline_network_train_steps,1000,1500,1.5x,"Baseline is auxiliary -- doesn't need as aggressive scaling"
Learning Rate,learning_rate,1.0e-3,5.0e-4,0.5x,"Slightly lower LR for FHP: larger network + bigger game = need more stable updates to avoid divergence"
Infrastructure,device,cpu,cuda,--,"NVIDIA T4 GPU on g4dn.2xlarge via CUDA. Mature PyTorch backend with full op support"
Infrastructure,save_log,True,True,same,"Always save logs to monitor convergence via data.csv"
Memory Estimate,RAM_usage (approx),~500 MB,~8-12 GB,--,"Dominated by buffer sizes: 1M+5M+2M entries x (162-dim float tensors + metadata)"
Memory Estimate,GPU_memory (approx),~100 MB,~1-2 GB,--,"Network params + batch tensors. Well within T4 16GB VRAM"
