Phase,Step,DCFR (Tabular Discounted CFR),Deep PDCFR (VR-DeepPDCFR+),Key Difference
1. Input Setup,What you configure,"Tree settings: board texture, bet sizes, stack depth, pot size, raise limits, position ranges","YAML config: game_name, num_episodes, num_traversals, alpha, gamma, network size (layers/hiddens), buffer sizes, epsilon","DCFR = configure the GAME TREE structure. Deep PDCFR = configure the LEARNING process"
1. Input Setup,Game definition,"Explicitly define every decision point: preflop ranges, flop/turn/river bet sizing tree (e.g. 33%/50%/75%/all-in)","Game loaded from OpenSpiel or custom NLHEGame class with MAX_ACTIONS=10 fixed action space","DCFR needs exact bet sizes upfront. Deep PDCFR uses fixed action abstraction the network learns over"
1. Input Setup,Tree size control,"User manually prunes: fewer bet sizes = smaller tree = faster solve. Trade accuracy for speed","User controls num_traversals (sampling density) and num_episodes (total compute budget). Tree is never fully built","DCFR user must balance tree size vs accuracy. Deep PDCFR user balances training budget vs accuracy"
1. Input Setup,Board/spot selection,"Select specific board (e.g. Ah Kd 7s flop) or batch of boards for a postflop spot","Configure game_name (KuhnPoker/LeducPoker/FHP) or custom NLHE subgame definition","DCFR solves ONE specific spot at a time. Deep PDCFR can learn across ALL spots simultaneously"
1. Input Setup,Config format,"GUI settings in solver software (PioSOLVER/GTO+/MonkerSolver) or proprietary config files","YAML file (e.g. configs/VRDeepPDCFRPlus.yaml) + CLI overrides: python scripts/run.py with configs/VRDeepPDCFRPlus.yaml game_name=FHP","Commercial solver GUIs vs research code YAML configs"
2. Run Simulation,How it starts,"Click 'Run' or 'Solve' in solver GUI. Solver builds full game tree in memory then iterates","python scripts/run.py with configs/VRDeepPDCFRPlus.yaml -- Sacred framework loads config and calls solver.solve()","DCFR = one-click GUI. Deep PDCFR = CLI command"
2. Run Simulation,What happens internally,"Full-tree traversal: visits EVERY node EVERY iteration. Updates regret table entry for each info set. CPU-bound","Sampling-based: DFS traverses random paths through tree (external sampling). Collects regret samples into buffer. Trains 4 neural nets on GPU","DCFR touches all nodes = exact but slow. Deep PDCFR samples subset = approximate but fast"
2. Run Simulation,Iteration details,"Each iteration: traverse full tree -> update regret[info_set][action] += cf_regret -> apply discount (t^alpha/(t^alpha+1)) -> regret match to get new strategy","Each iteration per player: (1) 10K DFS traversals collecting data -> (2) train cumulative regret net 750 steps -> (3) train immediate regret net -> (4) train baseline net -> (5) every 3 iters: train average policy net 5000 steps + evaluate","DCFR iteration = simple table update O(1) per node. Deep PDCFR iteration = neural net training (SGD) but visits far fewer nodes"
2. Run Simulation,Compute hardware,CPU only. Single-threaded or multi-threaded across nodes. RAM-bound by tree size,"GPU for neural net training + forward passes. CPU for tree traversal. Vectorized: processes all 1326 combos per node in one GPU batch","DCFR = buy more RAM for bigger trees. Deep PDCFR = buy bigger GPU for faster training"
2. Run Simulation,Memory usage,"O(nodes x actions x combos) -- stores regret value for every (info_set, action) pair. Grows linearly with tree. FHP ~910K nodes feasible, NLHE impossible","O(network_params + buffer_size) -- fixed ~1M params + 150K regret buffer + 1M policy buffer. Does NOT grow with game size","DCFR memory explodes with game size. Deep PDCFR memory is constant regardless of game size"
2. Run Simulation,Progress tracking,"Solver GUI shows: iteration count, current exploitability, estimated time remaining","Logs to data.csv every eval_frequency iterations: exploitability, regret_loss, nodes_touched, episode count","DCFR = visual progress bar. Deep PDCFR = CSV metrics file"
2. Run Simulation,Convergence signal,"Exploitability drops below threshold (e.g. <0.5% pot). User watches it converge and stops","Exploitability logged every 3 iterations. User checks data.csv or plots learning curve. No auto-stop","Both track exploitability. DCFR has built-in stopping. Deep PDCFR requires manual monitoring"
2. Run Simulation,Time per spot,"Minutes to hours per specific board/spot depending on tree size and iterations","Hours to days for training across game. But ONE trained model covers ALL spots in that game type","DCFR = fast per spot but must solve EACH spot separately. Deep PDCFR = slow to train but ONE model serves ALL spots"
