Phase,Step,What Happens,Key File(s),Code Entry Point,Input,Output,Notes
1. Setup Config,1.1 Choose game,"Pick the game to solve: FHP (closest to NLH postflop), KuhnPoker, LeducPoker, etc.",configs/VRDeepPDCFRPlus.yaml,"game_name: FHP (line 1 of YAML)",Game name string,"OpenSpiel game object via pyspiel.load_game()","FHP = 2-player fixed-limit holdem with 52 cards, 2 rounds, 3 community cards. For NLH postflop you'd need to restore nlhe_game.py from git history"
1. Setup Config,1.2 Choose algorithm,"Pick solver algorithm. VRDeepPDCFRPlus is the best one (variance-reduced predictive deep CFR+)",configs/VRDeepPDCFRPlus.yaml,"algo_name: VRDeepPDCFRPlus (line 2 of YAML)",Algorithm name string,"Solver class loaded dynamically via load_module()","Other options: OSDeepCFR, DREAM, NFSP, QPG, RPG -- but VRDeepPDCFRPlus is recommended"
1. Setup Config,1.3 Set training params,"Configure how long/hard to train: episodes, traversals per iteration, learning rate",configs/VRDeepPDCFRPlus.yaml,"num_episodes: 10000000, num_traversals: 10000, learning_rate: 1.0e-3","Parameter values","Controls training budget","num_traversals=10000 means 10K random game paths sampled per player per iteration"
1. Setup Config,1.4 Set network params,"Configure neural net architecture: layers, hidden units",configs/VRDeepPDCFRPlus.yaml,"num_layers: 3, num_hiddens: 64","Layer/hidden counts","MLP architecture: input -> [64,64,64] -> output","Deeper/wider = more capacity but slower training. 3x64 works for small games"
1. Setup Config,1.5 Set buffer params,"Configure experience replay buffers for regret and policy data",configs/VRDeepPDCFRPlus.yaml,"advantage_buffer_size: 150000, ave_policy_buffer_size: 1000000","Buffer sizes","ReservoirBuffer objects (fixed-size with reservoir sampling)","Larger buffers = more diverse training data but more RAM. 150K regret + 1M policy fits in 48GB easily"
1. Setup Config,1.6 Set algo-specific params,"VRDeepPDCFR+ specific: alpha (temporal weighting), epsilon (exploration), gamma",configs/VRDeepPDCFRPlus.yaml,"alpha: 2.3, epsilon: 0.6, gamma: 2","Hyperparameter values","Controls convergence behavior","alpha weighs recent vs old data. epsilon controls exploration mixing. These defaults are from the paper"
1. Setup Config,1.7 Set device,"Choose compute device: cpu or mps (Apple GPU)",configs/VRDeepPDCFRPlus.yaml,"device: mps (change from default cpu)","Device string","PyTorch device for neural net ops","MPS available on your M4 Pro. If MPS errors occur, fall back to cpu"
1. Setup Config,1.8 Set logging,"Enable/disable logging, set eval frequency",configs/VRDeepPDCFRPlus.yaml,"save_log: True, evaluation_frequency: 3","Log settings","Log folder with data.csv + model checkpoints","Logs saved to logs/VRDeepPDCFRPlus/FHP/{run_id}/"
2. Training,2.1 Launch training,"Run the training script with config",scripts/run.py,"python scripts/run.py with configs/VRDeepPDCFRPlus.yaml game_name=FHP device=mps","YAML config","Starts training loop","Sacred framework handles config loading and experiment tracking"
2. Training,2.2 Initialize solver,"run.py loads the solver class dynamically and creates solver instance",scripts/run.py + deeppdcfr/utils.py,"load_module('deeppdcfr:VRDeepPDCFRPlus') -> init_object(solver_class, configs)","Config dict","Initialized solver with: game, 4 neural nets, 3 buffers, logger","Creates: 2 regret trainers (one per player), 1 average policy trainer, 1 baseline Q-value trainer"
